id;sex;example.audio;example.video;answer;order;v_a
1;f;p;k;p;1;v
1;f;k;t;k;1;v
1;f;t;t;t;1;v
1;f;k;k;k;1;v
1;f;p;t;p;1;v
1;f;t;p;t;1;v
1;f;p;p;p;1;v
1;f;k;p;k;1;v
1;f;t;k;t;1;v
2;m;p;k;p;1;v
2;m;k;t;-;1;v
2;m;t;t;t;1;v
2;m;k;k;t;1;v
2;m;p;t;p;1;v
2;m;t;p;t;1;v
2;m;p;p;p;1;v
2;m;k;p;t;1;v
2;m;t;k;t;1;v
3;f;p;k;p;1;v
3;f;k;t;k;1;v
3;f;t;t;t;1;v
3;f;k;k;k;1;v
3;f;p;t;p;1;v
3;f;t;p;k;1;v
3;f;p;p;p;1;v
3;f;k;p;k;1;v
3;f;t;k;t;1;v
4;f;p;k;k;1;v
4;f;k;t;k;1;v
4;f;t;t;t;1;v
4;f;k;k;k;1;v
4;f;p;t;p;1;v
4;f;t;p;t;1;v
4;f;p;p;p;1;v
4;f;k;p;k;1;v
4;f;t;k;t;1;v
5;m;p;k;k;1;v
5;m;k;t;k;1;v
5;m;t;t;t;1;v
5;m;k;k;k;1;v
5;m;p;t;p;1;v
5;m;t;p;-;1;v
5;m;p;p;p;1;v
5;m;k;p;p;1;v
5;m;t;k;t;1;v
6;m;p;k;p;1;v
6;m;k;t;k;1;v
6;m;t;t;t;1;v
6;m;k;k;k;1;v
6;m;p;t;p;1;v
6;m;t;p;k;1;v
6;m;p;p;p;1;v
6;m;k;p;k;1;v
6;m;t;k;t;1;v
7;m;p;k;p;1;v
7;m;k;t;k;1;v
7;m;t;t;t;1;v
7;m;k;k;k;1;v
7;m;p;t;p;1;v
7;m;t;p;k;1;v
7;m;p;p;p;1;v
7;m;k;p;k;1;v
7;m;t;k;t;1;v
8;m;p;k;p;1;v
8;m;k;t;k;1;v
8;m;t;t;t;1;v
8;m;k;k;k;1;v
8;m;p;t;p;1;v
8;m;t;p;k;1;v
8;m;p;p;p;1;v
8;m;k;p;p;1;v
8;m;t;k;t;1;v
9;m;p;k;p;1;v
9;m;k;t;-;1;v
9;m;t;t;t;1;v
9;m;k;k;k;1;v
9;m;p;t;p;1;v
9;m;t;p;t;1;v
9;m;p;p;p;1;v
9;m;k;p;k;1;v
9;m;t;k;t;1;v
10;f;p;k;p;1;v
10;f;k;t;k;1;v
10;f;t;t;t;1;v
10;f;k;k;k;1;v
10;f;p;t;p;1;v
10;f;t;p;p;1;v
10;f;p;p;p;1;v
10;f;k;p;k;1;v
10;f;t;k;t;1;v
11;m;p;k;p;1;v
11;m;k;t;p;1;v
11;m;t;t;t;1;v
11;m;k;k;k;1;v
11;m;p;t;p;1;v
11;m;t;p;k;1;v
11;m;p;p;p;1;v
11;m;k;p;k;1;v
11;m;t;k;t;1;v
12;f;p;k;p;1;v
12;f;k;t;k;1;v
12;f;t;t;t;1;v
12;f;k;k;k;1;v
12;f;p;t;p;1;v
12;f;t;p;k;1;v
12;f;p;p;p;1;v
12;f;k;p;k;1;v
12;f;t;k;t;1;v
13;m;p;k;p;1;v
13;m;k;t;-;1;v
13;m;t;t;t;1;v
13;m;k;k;k;1;v
13;m;p;t;p;1;v
13;m;t;p;k;1;v
13;m;p;p;p;1;v
13;m;k;p;-;1;v
13;m;t;k;t;1;v
14;m;p;k;p;1;v
14;m;k;t;p;1;v
14;m;t;t;t;1;v
14;m;k;k;k;1;v
14;m;p;t;p;1;v
14;m;t;p;k;1;v
14;m;p;p;p;1;v
14;m;k;p;k;1;v
14;m;t;k;t;1;v
15;m;p;k;p;1;v
15;m;k;t;-;1;v
15;m;t;t;t;1;v
15;m;k;k;k;1;v
15;m;p;t;p;1;v
15;m;t;p;k;1;v
15;m;p;p;p;1;v
15;m;k;p;-;1;v
15;m;t;k;t;1;v
16;f;p;k;p;1;v
16;f;k;t;k;1;v
16;f;t;t;t;1;v
16;f;k;k;k;1;v
16;f;p;t;p;1;v
16;f;t;p;k;1;v
16;f;p;p;p;1;v
16;f;k;p;k;1;v
16;f;t;k;t;1;v
17;f;p;k;p;1;v
17;f;k;t;k;1;v
17;f;t;t;t;1;v
17;f;k;k;k;1;v
17;f;p;t;p;1;v
17;f;t;p;k;1;v
17;f;p;p;p;1;v
17;f;k;p;k;1;v
17;f;t;k;t;1;v
18;m;p;k;p;1;v
18;m;k;t;k;1;v
18;m;t;t;t;1;v
18;m;k;k;k;1;v
18;m;p;t;p;1;v
18;m;t;p;p;1;v
18;m;p;p;p;1;v
18;m;k;p;p;1;v
18;m;t;k;t;1;v
19;f;p;k;p;1;v
19;f;k;t;t;1;v
19;f;t;t;t;1;v
19;f;k;k;k;1;v
19;f;p;t;p;1;v
19;f;t;p;t;1;v
19;f;p;p;p;1;v
19;f;k;p;-;1;v
19;f;t;k;t;1;v
20;f;p;k;p;1;v
20;f;k;t;p;1;v
20;f;t;t;t;1;v
20;f;k;k;k;1;v
20;f;p;t;p;1;v
20;f;t;p;k;1;v
20;f;p;p;p;1;v
20;f;k;p;p;1;v
20;f;t;k;t;1;v
21;m;p;k;p;1;v
21;m;k;t;k;1;v
21;m;t;t;t;1;v
21;m;k;k;k;1;v
21;m;p;t;p;1;v
21;m;t;p;k;1;v
21;m;p;p;p;1;v
21;m;k;p;k;1;v
21;m;t;k;t;1;v
22;f;p;k;p;1;v
22;f;k;t;k;1;v
22;f;t;t;t;1;v
22;f;k;k;k;1;v
22;f;p;t;p;1;v
22;f;t;p;t;1;v
22;f;p;p;p;1;v
22;f;k;p;t;1;v
22;f;t;k;t;1;v
23;m;p;k;p;1;v
23;m;k;t;t;1;v
23;m;t;t;t;1;v
23;m;k;k;k;1;v
23;m;p;t;p;1;v
23;m;t;p;k;1;v
23;m;p;p;p;1;v
23;m;k;p;k;1;v
23;m;t;k;t;1;v
24;m;p;k;p;1;v
24;m;k;t;p;1;v
24;m;t;t;t;1;v
24;m;k;k;k;1;v
24;m;p;t;p;1;v
24;m;t;p;k;1;v
24;m;p;p;p;1;v
24;m;k;p;k;1;v
24;m;t;k;t;1;v
25;f;p;k;p;1;v
25;f;k;t;k;1;v
25;f;t;t;p;1;v
25;f;k;k;k;1;v
25;f;p;t;p;1;v
25;f;t;p;k;1;v
25;f;p;p;p;1;v
25;f;k;p;k;1;v
25;f;t;k;t;1;v
26;f;p;k;p;1;v
26;f;k;t;-;1;v
26;f;t;t;t;1;v
26;f;k;k;k;1;v
26;f;p;t;p;1;v
26;f;t;p;k;1;v
26;f;p;p;p;1;v
26;f;k;p;p;1;v
26;f;t;k;t;1;v
27;f;p;k;p;1;v
27;f;k;t;t;1;v
27;f;t;t;t;1;v
27;f;k;k;k;1;v
27;f;p;t;p;1;v
27;f;t;p;k;1;v
27;f;p;p;p;1;v
27;f;k;p;t;1;v
