id ,sex, example-audio ,example-video ,answer ,order
1,f,p,k,p,4
2,m,p,k,p,4
3,f,p,k,p,4
4,f,p,k,k,4
5,m,p,k,k,4
6,m,p,k,p,4
7,m,p,k,p,4
8,m,p,k,p,4
9,m,p,k,p,4
10,f,p,k,p,4
11,m,p,k,p,4
12,f,p,k,p,4
13,m,p,k,p,4
14,m,p,k,p,4
15,m,p,k,p,4
16,f,p,k,p,4
17,f,p,k,p,4
18,m,p,k,p,4
19,f,p,k,p,4
20,f,p,k,p,4
21,m,p,k,p,4
22,f,p,k,p,4
23,m,p,k,p,4
24,m,p,k,p,4
25,f,p,k,p,4
26,f,p,k,p,4
27,f,p,k,p,4
28,f,p,k,p,4
29,f,p,k,p,4
30,m,p,k,p,4
31,f,p,k,p,4
32,m,p,k,p,4
33,f,p,k,p,4
34,f,p,k,p,4
35,f,p,k,p,4
36,m,p,k,p,4
37,f,p,k,p,4
38,m,p,k,p,4
39,m,p,k,p,4
40,m,p,k,-,4
41,f,p,k,p,22
42,f,p,k,p,22
43,m,p,k,p,22
44,m,p,k,p,22
45,m,p,k,k,22
46,m,p,k,p,22
47,f,p,k,p,22
48,f,p,k,p,22
49,f,p,k,p,22
50,m,p,k,p,22
51,m,p,k,p,22
52,m,p,k,p,22
53,m,p,k,p,22
54,m,p,k,k,22
55,m,p,k,p,22
56,f,p,k,p,22
57,f,p,k,p,22
58,f,p,k,p,22
59,f,p,k,p,22
60,f,p,k,p,22
61,f,p,k,p,22
62,m,p,k,-,22
63,m,p,k,p,22
64,m,p,k,p,22
65,m,p,k,p,22
66,f,p,k,p,22
1,f,k,p,k,7
2,m,k,p,t,7
3,f,k,p,k,7
4,f,k,p,k,7
5,m,k,p,p,7
6,m,k,p,k,7
7,m,k,p,k,7
8,m,k,p,p,7
9,m,k,p,k,7
10,f,k,p,k,7
11,m,k,p,k,7
12,f,k,p,k,7
13,m,k,p,-,7
14,m,k,p,k,7
15,m,k,p,-,7
16,f,k,p,k,7
17,f,k,p,k,7
18,m,k,p,p,7
19,f,k,p,-,7
20,f,k,p,p,7
21,m,k,p,k,7
22,f,k,p,t,7
23,m,k,p,k,7
24,m,k,p,k,7
25,f,k,p,k,7
26,f,k,p,p,7
27,f,k,p,t,7
28,f,k,p,k,7
29,f,k,p,k,7
30,m,k,p,k,7
31,f,k,p,k,7
32,m,k,p,k,7
33,f,k,p,k,7
34,f,k,p,k,7
35,f,k,p,k,7
36,m,k,p,k,7
37,f,k,p,k,7
38,m,k,p,-,7
39,m,k,p,k,7
40,m,k,p,k,7
41,f,k,p,k,20
42,f,k,p,k,20
43,m,k,p,k,20
44,m,k,p,k,20
45,m,k,p,k,20
46,m,k,p,k,20
47,f,k,p,k,20
48,f,k,p,k,20
49,f,k,p,k,20
50,m,k,p,k,20
51,m,k,p,k,20
52,m,k,p,k,20
53,m,k,p,p,20
54,m,k,p,p,20
55,m,k,p,k,20
56,f,k,p,p,20
57,f,k,p,k,20
58,f,k,p,k,20
59,f,k,p,k,20
60,f,k,p,k,20
61,f,k,p,k,20
62,m,k,p,k,20
63,m,k,p,k,20
64,m,k,p,k,20
65,m,k,p,k,20
66,f,k,p,k,20
1,f,p,p,p,10
2,m,p,p,p,10
3,f,p,p,p,10
4,f,p,p,p,10
5,m,p,p,p,10
6,m,p,p,p,10
7,m,p,p,p,10
8,m,p,p,p,10
9,m,p,p,p,10
10,f,p,p,p,10
11,m,p,p,p,10
12,f,p,p,p,10
13,m,p,p,p,10
14,m,p,p,p,10
15,m,p,p,p,10
16,f,p,p,p,10
17,f,p,p,p,10
18,m,p,p,p,10
19,f,p,p,p,10
20,f,p,p,p,10
21,m,p,p,p,10
22,f,p,p,p,10
23,m,p,p,p,10
24,m,p,p,p,10
25,f,p,p,p,10
26,f,p,p,p,10
27,f,p,p,p,10
28,f,p,p,p,10
29,f,p,p,p,10
30,m,p,p,p,10
31,f,p,p,p,10
32,m,p,p,p,10
33,f,p,p,p,10
34,f,p,p,p,10
35,f,p,p,p,10
36,m,p,p,p,10
37,f,p,p,p,10
38,m,p,p,p,10
39,m,p,p,p,10
40,m,p,p,p,10
41,f,p,p,p,25
42,f,p,p,p,25
43,m,p,p,p,25
44,m,p,p,p,25
45,m,p,p,p,25
46,m,p,p,p,25
47,f,p,p,p,25
48,f,p,p,p,25
49,f,p,p,p,25
50,m,p,p,p,25
51,m,p,p,p,25
52,m,p,p,p,25
53,m,p,p,p,25
54,m,p,p,p,25
55,m,p,p,p,25
56,f,p,p,p,25
57,f,p,p,p,25
58,f,p,p,p,25
59,f,p,p,p,25
60,f,p,p,p,25
61,f,p,p,p,25
62,m,p,p,p,25
63,m,p,p,p,25
64,m,p,p,p,25
65,m,p,p,p,25
66,f,p,p,p,25
1,f,t,p,t,12
2,m,t,p,t,12
3,f,t,p,k,12
4,f,t,p,t,12
5,m,t,p,-,12
6,m,t,p,k,12
7,m,t,p,k,12
8,m,t,p,k,12
9,m,t,p,t,12
10,f,t,p,p,12
11,m,t,p,k,12
12,f,t,p,k,12
13,m,t,p,k,12
14,m,t,p,k,12
15,m,t,p,k,12
16,f,t,p,k,12
17,f,t,p,k,12
18,m,t,p,p,12
19,f,t,p,t,12
20,f,t,p,k,12
21,m,t,p,k,12
22,f,t,p,t,12
23,m,t,p,k,12
24,m,t,p,k,12
25,f,t,p,k,12
26,f,t,p,k,12
27,f,t,p,k,12
28,f,t,p,k,12
29,f,t,p,t,12
30,m,t,p,k,12
31,f,t,p,k,12
32,m,t,p,k,12
33,f,t,p,-,12
34,f,t,p,k,12
35,f,t,p,k,12
36,m,t,p,k,12
37,f,t,p,k,12
38,m,t,p,-,12
39,m,t,p,k,12
40,m,t,p,-,12
41,f,t,p,k,11
42,f,t,p,k,11
43,m,t,p,k,11
44,m,t,p,k,11
45,m,t,p,k,11
46,m,t,p,t,11
47,f,t,p,k,11
48,f,t,p,-,11
49,f,t,p,k,11
50,m,t,p,k,11
51,m,t,p,k,11
52,m,t,p,t,11
53,m,t,p,t,11
54,m,t,p,k,11
55,m,t,p,k,11
56,f,t,p,k,11
57,f,t,p,k,11
58,f,t,p,k,11
59,f,t,p,k,11
60,f,t,p,k,11
61,f,t,p,k,11
62,m,t,p,-,11
63,m,t,p,k,11
64,m,t,p,k,11
65,m,t,p,t,11
66,f,t,p,k,11
1,f,t,t,t,14
2,m,t,t,t,14
3,f,t,t,t,14
4,f,t,t,t,14
5,m,t,t,t,14
6,m,t,t,t,14
7,m,t,t,t,14
8,m,t,t,t,14
9,m,t,t,t,14
10,f,t,t,t,14
11,m,t,t,t,14
12,f,t,t,t,14
13,m,t,t,t,14
14,m,t,t,t,14
15,m,t,t,t,14
16,f,t,t,t,14
17,f,t,t,t,14
18,m,t,t,t,14
19,f,t,t,t,14
20,f,t,t,t,14
21,m,t,t,t,14
22,f,t,t,t,14
23,m,t,t,t,14
24,m,t,t,t,14
25,f,t,t,p,14
26,f,t,t,t,14
27,f,t,t,t,14
28,f,t,t,t,14
29,f,t,t,t,14
30,m,t,t,t,14
31,f,t,t,t,14
32,m,t,t,t,14
33,f,t,t,t,14
34,f,t,t,t,14
35,f,t,t,t,14
36,m,t,t,t,14
37,f,t,t,t,14
38,m,t,t,t,14
39,m,t,t,t,14
40,m,t,t,t,14
41,f,t,t,t,5
42,f,t,t,t,5
43,m,t,t,t,5
44,m,t,t,t,5
45,m,t,t,t,5
46,m,t,t,t,5
47,f,t,t,t,5
48,f,t,t,p,5
49,f,t,t,t,5
50,m,t,t,t,5
51,m,t,t,t,5
52,m,t,t,t,5
53,m,t,t,t,5
54,m,t,t,t,5
55,m,t,t,t,5
56,f,t,t,t,5
57,f,t,t,t,5
58,f,t,t,t,5
59,f,t,t,t,5
60,f,t,t,t,5
61,f,t,t,t,5
62,m,t,t,t,5
63,m,t,t,t,5
64,m,t,t,t,5
65,m,t,t,t,5
66,f,t,t,t,5
1,f,t,k,t,17
2,m,t,k,t,17
3,f,t,k,t,17
4,f,t,k,t,17
5,m,t,k,t,17
6,m,t,k,t,17
7,m,t,k,t,17
8,m,t,k,t,17
9,m,t,k,t,17
10,f,t,k,t,17
11,m,t,k,t,17
12,f,t,k,t,17
13,m,t,k,t,17
14,m,t,k,t,17
15,m,t,k,t,17
16,f,t,k,t,17
17,f,t,k,t,17
18,m,t,k,t,17
19,f,t,k,t,17
20,f,t,k,t,17
21,m,t,k,t,17
22,f,t,k,t,17
23,m,t,k,t,17
24,m,t,k,t,17
25,f,t,k,t,17
26,f,t,k,t,17
27,f,t,k,t,17
28,f,t,k,t,17
29,f,t,k,t,17
30,m,t,k,t,17
31,f,t,k,t,17
32,m,t,k,t,17
33,f,t,k,t,17
34,f,t,k,t,17
35,f,t,k,t,17
36,m,t,k,t,17
37,f,t,k,t,17
38,m,t,k,t,17
39,m,t,k,t,17
40,m,t,k,t,17
41,f,t,k,t,8
42,f,t,k,t,8
43,m,t,k,t,8
44,m,t,k,t,8
45,m,t,k,t,8
46,m,t,k,t,8
47,f,t,k,t,8
48,f,t,k,t,8
49,f,t,k,t,8
50,m,t,k,t,8
51,m,t,k,t,8
52,m,t,k,t,8
53,m,t,k,t,8
54,m,t,k,t,8
55,m,t,k,t,8
56,f,t,k,t,8
57,f,t,k,t,8
58,f,t,k,t,8
59,f,t,k,t,8
60,f,t,k,t,8
61,f,t,k,t,8
62,m,t,k,t,8
63,m,t,k,t,8
64,m,t,k,t,8
65,m,t,k,t,8
66,f,t,k,t,8
1,f,k,t,k,20
2,m,k,t,-,20
3,f,k,t,k,20
4,f,k,t,k,20
5,m,k,t,k,20
6,m,k,t,k,20
7,m,k,t,k,20
8,m,k,t,k,20
9,m,k,t,-,20
